"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,223,"CHE","Switzerland",1,"Aargau","CH.AG",NA,"","Canton|Kanton|Chantun","Canton","","Argovia|Arg¢via|Argovie"
2,223,"CHE","Switzerland",2,"Appenzell Ausserrhoden","CH.AR",NA,"","Canton|Kanton|Chantun","Canton","","Appenzell Ausser-Rhoden|Appenzell Outer Rhodes|Appenzell dadens|Appenzell Rhodes Extérieures|Appenzello Esterno"
3,223,"CHE","Switzerland",3,"Appenzell Innerrhoden","CH.AI",NA,"","Canton|Kanton|Chantun","Canton","","Appenzell Inner-Rhoden|Appenzell Inner Rhodes|Appenzell dador|Appenzell Rhodes Intérieures|Appenzello Interno"
4,223,"CHE","Switzerland",4,"Basel-Landschaft","CH.BL",NA,"","Canton|Kanton|Chantun","Canton","","Bâle-Campagne|Basel-Country|Baselland|Basel-Land|Basilea campagna|Basilea Campaña|Basilea-Champagna"
5,223,"CHE","Switzerland",5,"Basel-Stadt","CH.BS",NA,"","Canton|Kanton|Chantun","Canton","","Bâle-Ville|Basel-City|Basel-Town|Basilea-Citad|Basilea Ciudad|Basilea città|Basiléia cidade"
6,223,"CHE","Switzerland",6,"Bern","CH.BE",NA,"","Canton|Kanton|Chantun","Canton","","Berna|Berne"
7,223,"CHE","Switzerland",7,"Fribourg","CH.FR",NA,"","Canton|Kanton|Chantun","Canton","","Freiburg|Friburg|Friburgo"
8,223,"CHE","Switzerland",8,"Genève","CH.GE",NA,"","Canton|Kanton|Chantun","Canton","","Cenevre|Genebra|Geneve|Geneva|Genevra|Genf|Ginebra|Ginevra"
9,223,"CHE","Switzerland",9,"Glarus","CH.GL",NA,"","Canton|Kanton|Chantun","Canton","","Glaris|Glarona|Glaruna"
10,223,"CHE","Switzerland",10,"Graubünden","CH.GR",NA,"","Canton|Kanton|Chantun","Canton","","Graubünden|Grigioni|Grischun|Grisons"
11,223,"CHE","Switzerland",11,"Jura","CH.JU",NA,"","Canton|Kanton|Chantun","Canton","","Giura"
12,223,"CHE","Switzerland",12,"Lucerne","CH.LU",NA,"","Canton|Kanton|Chantun","Canton","","Lucerna|Luzern"
13,223,"CHE","Switzerland",13,"Neuchâtel","CH.NE",NA,"","Canton|Kanton|Chantun","Canton","","Neuenburg"
14,223,"CHE","Switzerland",14,"Nidwalden","CH.NW",NA,"","Canton|Kanton|Chantun","Canton","","Nidvaldo|Nidwald|Unterwalden-le-Bas|Nidwaldo"
15,223,"CHE","Switzerland",15,"Obwalden","CH.OW",NA,"","Canton|Kanton|Chantun","Canton","","Obvaldo|Obwald|Unterwalden-le-Haut|Obwaldo|Sursilvania"
16,223,"CHE","Switzerland",16,"Sankt Gallen","CH.SG",NA,"","Canton|Kanton|Chantun","Canton","","Saint-Gall|San Gallo|Son Gagl"
17,223,"CHE","Switzerland",17,"Schaffhausen","CH.SH",NA,"","Canton|Kanton|Chantun","Canton","","Schaffhouse|Schaffusa|Sciaffusa"
18,223,"CHE","Switzerland",18,"Schwyz","CH.SZ",NA,"","Canton|Kanton|Chantun","Canton","",""
19,223,"CHE","Switzerland",19,"Solothurn","CH.SO",NA,"","Canton|Kanton|Chantun","Canton","","Soletta|Soleure|Soleuro|Soloturn"
20,223,"CHE","Switzerland",20,"Thurgau","CH.TG",NA,"","Canton|Kanton|Chantun","Canton","","Thurgovie|Turgovia|Turg¢via"
21,223,"CHE","Switzerland",21,"Ticino","CH.TI",NA,"","Canton|Kanton|Chantun","Canton","","Tesino|Tessin"
22,223,"CHE","Switzerland",22,"Uri","CH.UR",NA,"","Canton|Kanton|Chantun","Canton","",""
23,223,"CHE","Switzerland",23,"Valais","CH.VS",NA,"","Canton|Kanton|Chantun","Canton","","Vallais|Vallese|Wallis"
24,223,"CHE","Switzerland",24,"Vaud","CH.VD",NA,"","Canton|Kanton|Chantun","Canton","","Vad|Waadt|Waadtland"
25,223,"CHE","Switzerland",25,"Zürich","CH.ZH",NA,"","Canton|Kanton|Chantun","Canton","","Turitg|Zurigo|Zürih|Zurique"
26,223,"CHE","Switzerland",26,"Zug","CH.ZG",NA,"","Canton|Kanton|Chantun","Canton","","Zoug|Zugo"
